"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
293, 3.536737595471074e-01, -5.938874329681164e-02, 7.940779565521708e+04, -4.828258685097220e-01, 1.019474354104469e+00
292, 3.761043158457168e-01, -5.880514935859987e-02, 8.250575080471346e+04, -4.145793502891715e-01, 9.878244796323591e-01
291, 3.989660111419634e-01, -5.803653009934782e-02, 8.415535557056601e+04, -3.782393207287808e-01, 9.714094987689247e-01
290, 4.221787095780457e-01, -5.709075598546712e-02, 8.485245905326131e+04, -3.628824536220676e-01, 9.641788954006461e-01
289, 4.456572072274746e-01, -5.597779938099665e-02, 8.539290357416497e+04, -3.509767109424021e-01, 9.582332193898490e-01
288, 4.693124030940611e-01, -5.470942300106307e-02, 8.622204546101474e+04, -3.327110988990795e-01, 9.494454456619837e-01
287, 4.930525964196746e-01, -5.329892118800329e-02, 8.733974008775663e+04, -3.080888035371367e-01, 9.380096658085471e-01
286, 5.167848680454782e-01, -5.176074526250803e-02, 8.852913884234698e+04, -2.818868994231130e-01, 9.260327316073269e-01
285, 5.404164855505578e-01, -5.011031086833802e-02, 8.963150066563587e+04, -2.576023786252715e-01, 9.149448314220147e-01
284, 5.638563758446214e-01, -4.836354050646498e-02, 9.063626896503550e+04, -2.354677979927676e-01, 9.047969027486080e-01
283, 5.870164114319917e-01, -4.653653533750571e-02, 9.159260273420354e+04, -2.144002076459338e-01, 8.951351286452959e-01
282, 6.098127451599872e-01, -4.464530685108623e-02, 9.252877588751758e+04, -1.937767463361007e-01, 8.857118475261287e-01
281, 6.321669360369914e-01, -4.270556178141494e-02, 9.344413099571147e+04, -1.736118969257456e-01, 8.765324219728912e-01
280, 6.540069264110646e-01, -4.073238210504949e-02, 9.433155245586812e+04, -1.540624128540560e-01, 8.676498505848350e-01
279, 6.752678372714851e-01, -3.874004619089697e-02, 9.519044577194095e+04, -1.351413905938071e-01, 8.590611911695590e-01
278, 6.958925736343555e-01, -3.674199268880568e-02, 9.602433691917617e+04, -1.167711545421342e-01, 8.507306638875844e-01
277, 7.158321990573211e-01, -3.475055326488645e-02, 9.683666153154087e+04, -9.887601927274171e-02, 8.426230258727708e-01
276, 7.350461355433283e-01, -3.277701208564763e-02, 9.762995606903752e+04, -8.140010774563985e-02, 8.347114541352139e-01
275, 7.535021493395924e-01, -3.083145872662608e-02, 9.840623244765500e+04, -6.429909838270155e-02, 8.269738012327469e-01
164, 0.000000000000000e+00, 0.000000000000000e+00, 1.535254228999463e+05, 1.149951158311883e+00, 9.397425858249318e-02
165, 4.427346676751775e-04, 2.460484914409871e-03, 1.492127723170772e+05, 1.054945461850948e+00, 2.042577769568994e-01
166, 9.240388718906818e-04, 5.135318895522781e-03, 1.440835865019920e+05, 9.419518721139551e-01, 3.253347153730165e-01
327, 4.427346676751775e-04, -2.460484914409871e-03, 1.541596923720191e+05, 1.163923821243943e+00, 2.187865698240961e-02
326, 9.240388718906818e-04, -5.135318895522781e-03, 1.526692375383238e+05, 1.131089791034943e+00, 1.379418595972981e-01
325, 2.027996670775381e-03, -7.862601630618244e-03, 1.470952963036609e+05, 1.008298445235911e+00, 2.520703359911767e-01
324, 3.732057868973646e-03, -1.057700805081221e-02, 1.406903040366865e+05, 8.671994298025831e-01, 3.515474363257434e-01
323, 5.937817251091093e-03, -1.326759148827751e-02, 1.340342999985130e+05, 7.205707412171101e-01, 4.393208611222361e-01
322, 8.651279065227146e-03, -1.589303636730661e-02, 1.274306869943409e+05, 5.750962028643007e-01, 5.153230419218303e-01
321, 1.184208045571502e-02, -1.845847267796354e-02, 1.215594396995605e+05, 4.457553421530902e-01, 5.794992254069944e-01
320, 1.550742208330981e-02, -2.095816503942530e-02, 1.163526318932571e+05, 3.310517758727454e-01, 6.343008671200453e-01
319, 1.964405172953412e-02, -2.340048274336675e-02, 1.118127595060207e+05, 2.310404882190597e-01, 6.814977418193122e-01
318, 2.425976180866218e-02, -2.578933480542115e-02, 1.078195382488058e+05, 1.430716719715069e-01, 7.226329630541669e-01
